"id","created_at","json_response"
4,2023-05-13 19:29:05.377 -0300,"{""id"":""868PFH"" , ""amount"":""886.20"" , ""cache-control"":""1""}"
7,2023-05-13 20:19:40.240 -0300,"{""id"":""RLTC7E"" , ""amount"":""157.69"" , ""cache-control"":""1""}"
16,2023-05-13 20:40:26.044 -0300,"{""id"":""L9RA6C"" , ""amount"":""157.69"" , ""cache-control"":""1""}"
146,2023-05-14 07:43:17.962 -0300,"{""id"":""LP2NEI"" , ""amount"":""1449.75"" , ""cache-control"":""1""}"
149,2023-05-14 07:47:04.282 -0300,"{""id"":""1ZH10B"" , ""amount"":""86.92"" , ""cache-control"":""1""}"
150,2023-05-14 07:51:34.267 -0300,"{""id"":""NY3MCU"" , ""amount"":""266.28"" , ""cache-control"":""1""}"
160,2023-05-14 08:18:00.706 -0300,"{""id"":""N7HLOR"" , ""amount"":""404.37"" , ""cache-control"":""1""}"
175,2023-05-14 08:59:30.318 -0300,"{""id"":""QYN0CK"" , ""amount"":""422.40"" , ""cache-control"":""1""}"
195,2023-05-14 09:19:08.275 -0300,"{""id"":""EAEE48"" , ""amount"":""4911.68"" , ""cache-control"":""1""}"
201,2023-05-14 09:29:22.643 -0300,"{""id"":""G6K4XK"" , ""amount"":""319.36"" , ""cache-control"":""1""}"
203,2023-05-14 09:32:50.648 -0300,"{""id"":""U11J9Q"" , ""amount"":""915.09"" , ""cache-control"":""1""}"
209,2023-05-14 09:45:15.115 -0300,"{""id"":""USH2XN"" , ""amount"":""3356.05"" , ""cache-control"":""1""}"
213,2023-05-14 09:47:45.457 -0300,"{""id"":""IVAPQC"" , ""amount"":""915.09"" , ""cache-control"":""1""}"
217,2023-05-14 09:52:37.786 -0300,"{""id"":""KU798E"" , ""amount"":""2388.80"" , ""cache-control"":""1""}"
231,2023-05-14 10:16:10.329 -0300,"{""id"":""BXJ8AA"" , ""amount"":""1470.60"" , ""cache-control"":""1""}"
233,2023-05-14 10:16:42.152 -0300,"{""id"":""IEFUMW"" , ""amount"":""595.72"" , ""cache-control"":""1""}"
236,2023-05-14 10:17:39.137 -0300,"{""id"":""LVNDSM"" , ""amount"":""1368.11"" , ""cache-control"":""1""}"
241,2023-05-14 10:32:00.590 -0300,"{""id"":""UY2BGV"" , ""amount"":""4419.33"" , ""cache-control"":""1""}"
253,2023-05-14 10:42:00.160 -0300,"{""id"":""N5ZQOY"" , ""amount"":""339.42"" , ""cache-control"":""1""}"
256,2023-05-14 10:45:39.046 -0300,"{""id"":""1SXURL"" , ""amount"":""903.54"" , ""cache-control"":""1""}"
260,2023-05-14 10:47:46.982 -0300,"{""id"":""D00FZZ"" , ""amount"":""3444.67"" , ""cache-control"":""1""}"
261,2023-05-14 10:49:42.106 -0300,"{""id"":""A7142D"" , ""amount"":""2536.54"" , ""cache-control"":""1""}"
275,2023-05-14 11:05:22.092 -0300,"{""id"":""LW6RM7"" , ""amount"":""3803.15"" , ""cache-control"":""1""}"
290,2023-05-14 11:26:35.141 -0300,"{""id"":""TF1GS2"" , ""amount"":""1459.92"" , ""cache-control"":""1""}"
291,2023-05-14 11:26:55.344 -0300,"{""id"":""NM4764"" , ""amount"":""601.26"" , ""cache-control"":""1""}"
299,2023-05-14 11:34:54.628 -0300,"{""id"":""GME7KZ"" , ""amount"":""674.73"" , ""cache-control"":""1""}"
310,2023-05-14 11:49:13.318 -0300,"{""id"":""VD79OC"" , ""amount"":""514.67"" , ""cache-control"":""1""}"
347,2023-05-14 12:57:51.617 -0300,"{""id"":""X7TEFT"" , ""amount"":""1191.45"" , ""cache-control"":""1""}"
375,2023-05-14 13:51:31.326 -0300,"{""id"":""FOIC2U"" , ""amount"":""3358.31"" , ""cache-control"":""1""}"
392,2023-05-14 14:19:39.553 -0300,"{""id"":""W4O76R"" , ""amount"":""19.34"" , ""cache-control"":""1""}"
397,2023-05-14 14:28:32.373 -0300,"{""id"":""CKMEZN"" , ""amount"":""869.84"" , ""cache-control"":""1""}"
400,2023-05-14 14:30:24.230 -0300,"{""id"":""77KLSH"" , ""amount"":""594.11"" , ""cache-control"":""1""}"
401,2023-05-14 14:30:25.414 -0300,"{""id"":""TPJ95A"" , ""amount"":""1499.29"" , ""cache-control"":""1""}"
415,2023-05-14 14:46:18.811 -0300,"{""id"":""FNRNGL"" , ""amount"":""1849.87"" , ""cache-control"":""1""}"
421,2023-05-14 14:56:13.572 -0300,"{""id"":""RLNBFR"" , ""amount"":""1849.87"" , ""cache-control"":""1""}"
422,2023-05-14 14:57:59.807 -0300,"{""id"":""CMM3DU"" , ""amount"":""594.11"" , ""cache-control"":""1""}"
425,2023-05-14 15:01:24.177 -0300,"{""id"":""N5P7LB"" , ""amount"":""1849.87"" , ""cache-control"":""1""}"
428,2023-05-14 15:04:24.191 -0300,"{""id"":""QO5BPV"" , ""amount"":""1479.41"" , ""cache-control"":""1""}"
443,2023-05-14 15:28:56.605 -0300,"{""id"":""G9KD86"" , ""amount"":""277.36"" , ""cache-control"":""1""}"
446,2023-05-14 15:35:42.790 -0300,"{""id"":""L1J7HR"" , ""amount"":""3242.65"" , ""cache-control"":""1""}"
482,2023-05-14 16:38:40.638 -0300,"{""id"":""1W8F24"" , ""amount"":""1992.35"" , ""cache-control"":""1""}"
484,2023-05-14 16:47:55.440 -0300,"{""id"":""6K6BNM"" , ""amount"":""2950.00"" , ""cache-control"":""1""}"
491,2023-05-14 16:53:38.090 -0300,"{""id"":""9S78T5"" , ""amount"":""844.47"" , ""cache-control"":""1""}"
493,2023-05-14 16:55:51.663 -0300,"{""id"":""1UWSC9"" , ""amount"":""1992.35"" , ""cache-control"":""1""}"
494,2023-05-14 16:59:12.749 -0300,"{""id"":""V6OYQQ"" , ""amount"":""732.07"" , ""cache-control"":""1""}"
500,2023-05-14 17:08:14.078 -0300,"{""id"":""B05CJN"" , ""amount"":""732.07"" , ""cache-control"":""1""}"
533,2023-05-14 18:02:57.972 -0300,"{""id"":""HSOKE8"" , ""amount"":""259.50"" , ""cache-control"":""1""}"
556,2023-05-14 18:47:53.038 -0300,"{""id"":""JG7ZGW"" , ""amount"":""124.26"" , ""cache-control"":""1""}"
557,2023-05-14 18:51:09.448 -0300,"{""id"":""UH8XMB"" , ""amount"":""1899.05"" , ""cache-control"":""1""}"
574,2023-05-14 19:58:24.991 -0300,"{""id"":""IIAJOW"" , ""amount"":""1899.05"" , ""cache-control"":""1""}"
746,2023-05-15 07:23:42.364 -0300,"{""id"":""RI2RDZ"" , ""amount"":""723.41"" , ""cache-control"":""1""}"
749,2023-05-15 07:35:21.597 -0300,"{""id"":""7ESV3W"" , ""amount"":""1479.41"" , ""cache-control"":""1""}"
750,2023-05-15 07:35:23.465 -0300,"{""id"":""X6FULU"" , ""amount"":""259.66"" , ""cache-control"":""1""}"
752,2023-05-15 07:39:58.632 -0300,"{""id"":""TW4N0N"" , ""amount"":""2365.61"" , ""cache-control"":""1""}"
763,2023-05-15 08:16:20.126 -0300,"{""id"":""4XL1QF"" , ""amount"":""572.19"" , ""cache-control"":""1""}"
770,2023-05-15 08:26:51.418 -0300,"{""id"":""A0NTW6"" , ""amount"":""1583.81"" , ""cache-control"":""1""}"
779,2023-05-15 08:38:21.956 -0300,"{""id"":""3HL3WU"" , ""amount"":""3147.00"" , ""cache-control"":""1""}"
784,2023-05-15 08:44:25.209 -0300,"{""id"":""9SLYPT"" , ""amount"":""2007.31"" , ""cache-control"":""1""}"
787,2023-05-15 08:48:54.373 -0300,"{""id"":""DLRTDV"" , ""amount"":""1167.20"" , ""cache-control"":""1""}"
792,2023-05-15 08:53:04.669 -0300,"{""id"":""RC4DRH"" , ""amount"":""224.36"" , ""cache-control"":""1""}"
795,2023-05-15 08:56:45.600 -0300,"{""id"":""QA90CB"" , ""amount"":""322.64"" , ""cache-control"":""1""}"
